train_acc,train_rec,train_f1,test_acc,test_rec,test_f1,batch_size,dropout,lr,epochs,10
0.3014079853113234,0.46972477064220186,0.36558378992916074,0.3088398401257736,0.44799999999999995,0.36353580020620924,16,0.1,0.001,75,glove_100d
0.43236009836691947,0.5889908256880735,0.4947872240917998,0.3537118373736839,0.44800000000000006,0.39245618077867195,16,0.1,0.003,75,glove_100d
0.5536990415042291,0.6311926605504588,0.5436673489478516,0.3521698005698006,0.408,0.3739392117137034,16,0.1,0.005,75,glove_100d
0.2782308857909018,0.43669724770642204,0.33862322548677326,0.32525176355522956,0.44799999999999995,0.3694068965517241,16,0.2,0.001,75,glove_100d
0.3429739267455149,0.526605504587156,0.4124335964354641,0.33178416149068324,0.46399999999999997,0.38263659792742516,16,0.2,0.003,75,glove_100d
0.33715295800286005,0.526605504587156,0.4090541675899762,0.3038031588275491,0.42400000000000004,0.34826341463414634,16,0.2,0.005,75,glove_100d
0.3298703497893668,0.5119266055045872,0.3983881570410367,0.3192405348792446,0.45599999999999996,0.3718195488721805,8,0.1,0.001,75,glove_100d
0.4254006266298944,0.5486238532110093,0.42974537531911167,0.28208765072765074,0.40800000000000003,0.3298399486580681,8,0.1,0.003,75,glove_100d
0.10501888828926066,0.163302752293578,0.04855206342838442,0.023104,0.152,0.04011111111111111,8,0.1,0.005,75,glove_100d
0.29296737451402965,0.45504587155963305,0.35384621274349054,0.3345387997623292,0.44799999999999995,0.37167968517968514,8,0.2,0.001,75,glove_100d
0.4229174312530408,0.5321100917431193,0.4177743156227618,0.3139885874985694,0.44799999999999995,0.3643514538162326,8,0.2,0.003,75,glove_100d
0.205377268609772,0.41284403669724773,0.27271119214004563,0.17114168049665007,0.32,0.21940896839010046,8,0.2,0.005,75,glove_100d
0.33284632848477036,0.5211009174311927,0.4045064607113401,0.31162330142975303,0.44,0.360453974964706,4,0.1,0.001,75,glove_100d
0.5101421697987945,0.6146788990825689,0.5505194799925022,0.39911130351130353,0.46399999999999997,0.4257585543788977,4,0.1,0.003,75,glove_100d
0.5470677535094542,0.6495412844036696,0.586583151681121,0.3844505809979494,0.39999999999999997,0.3881594139194139,4,0.1,0.005,75,glove_100d
0.37019465583580974,0.45871559633027525,0.35814427897299095,0.3115787114845938,0.44799999999999995,0.3639020225397268,4,0.2,0.001,75,glove_100d
0.35579707013839645,0.544954128440367,0.4270213544525471,0.294153623649005,0.40800000000000003,0.33826652613008606,4,0.2,0.003,75,glove_100d
0.17838377219111162,0.29724770642201837,0.15460029922485366,0.09700385250412769,0.272,0.14167176717671767,4,0.2,0.005,75,glove_100d
0.3490086820474269,0.5467889908256881,0.4247845504399584,0.3149053708439898,0.45599999999999996,0.3705051923358198,2,0.1,0.001,75,glove_100d
0.5546568807651968,0.6678899082568808,0.6023050885232343,0.3801088222122705,0.432,0.40270358134963924,2,0.1,0.003,75,glove_100d
0.5548678889847365,0.6293577981651376,0.5453913981484303,0.3960871040723982,0.448,0.4087383724847195,2,0.1,0.005,75,glove_100d
0.3183582386592879,0.4917431192660551,0.38372410411958946,0.3215268344558667,0.44800000000000006,0.36880156148340926,2,0.2,0.001,75,glove_100d
0.5467777026840994,0.6146788990825689,0.5320028167482505,0.3968280701754386,0.464,0.42386510100643776,2,0.2,0.003,75,glove_100d
0.5262130497328202,0.5834862385321102,0.5043878265333317,0.3589042049568365,0.416,0.3799099548328816,2,0.2,0.005,75,glove_100d
