Model,Model_name,params,train_acc,train_rec,train_f1,test_acc,test_rec,test_f1
GBTClassifier_04975f5e862c,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 5, 'stepSize': 0.1}",0.8478106465632416,0.811217510259918,0.7914419836611288,0.5426897397465595,0.6089385474860335,0.5217825751247553
GBTClassifier_bf451c48cd8e,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 5, 'stepSize': 0.2}",0.9074890437525716,0.8946648426812586,0.8900328867035247,0.5908271760677599,0.6256983240223464,0.5674048086953742
GBTClassifier_59fe5e64e4db,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 5, 'stepSize': 0.3}",0.9275428153030136,0.9192886456908345,0.9167260017020227,0.5686710897898315,0.6145251396648044,0.5493159510612564
GBTClassifier_2b2d8471807b,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 7, 'stepSize': 0.1}",0.8702674815461544,0.8372093023255814,0.8227255617183784,0.5319044110086713,0.6033519553072625,0.5182702980535653
GBTClassifier_fce6f939c4b5,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 7, 'stepSize': 0.2}",0.9531002323409985,0.9493844049247606,0.9484416548167021,0.5908271760677599,0.6256983240223464,0.5674048086953742
GBTClassifier_875db9bf36bc,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 20, 'maxDepth': 7, 'stepSize': 0.3}",0.9614375720809123,0.9589603283173735,0.9583627777310831,0.6016095483899071,0.6312849162011174,0.5807678592654224
GBTClassifier_1c3d02d688b8,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 3, 'stepSize': 0.1}",0.8200877160653078,0.7674418604651163,0.7324201193816138,0.5034042487094921,0.5977653631284916,0.5010771271251155
GBTClassifier_5f543220cbb0,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 3, 'stepSize': 0.2}",0.8787742469003423,0.8549931600547196,0.8447715538619374,0.5782106067800149,0.6201117318435754,0.5531836051389123
GBTClassifier_3aac3da7f14d,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 3, 'stepSize': 0.3}",0.9002889692224421,0.8878248974008207,0.8828004121089751,0.6111606863884619,0.6368715083798883,0.5933540361843115
GBTClassifier_49b699d928e9,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 5, 'stepSize': 0.1}",0.8578081598998313,0.829001367989056,0.81418014852135,0.5319044110086713,0.6033519553072625,0.5182702980535653
GBTClassifier_9dd7493e24e9,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 5, 'stepSize': 0.2}",0.9375441423653077,0.9316005471956224,0.9298522516096857,0.5896701419777248,0.6256983240223464,0.5623792568275969
GBTClassifier_e31d58303ba5,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 5, 'stepSize': 0.3}",0.9610420793058925,0.9589603283173734,0.9584084684495082,0.5706701475308431,0.6089385474860336,0.5641844189330222
GBTClassifier_1efde592fa59,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 7, 'stepSize': 0.1}",0.88919046523734,0.86593707250342,0.8570255251911472,0.5761834754483974,0.6201117318435754,0.5476159542678964
GBTClassifier_1369863f2637,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 7, 'stepSize': 0.2}",0.9371015533806231,0.9302325581395349,0.9283090143285749,0.5628643981716608,0.6089385474860335,0.5505477928486506
GBTClassifier_8f6ece4169dc,GBTClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 30, 'maxDepth': 7, 'stepSize': 0.3}",0.9725084658339127,0.9712722298221614,0.9709931310666928,0.6023938868554549,0.6312849162011173,0.5850489359887415
