train_acc,train_rec,train_f1,test_acc,test_rec,test_f1,batch_size,dropout,lr,epochs,10
0.9379480164158688,0.9357045143638851,0.9346584106334388,0.8462808755841327,0.8435754189944134,0.83905137473984,32,0.0,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.0,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.0,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.9427112898063756,0.9425444596443229,0.9421305529555764,0.8659217877094971,0.8659217877094971,0.8659217877094971,32,0.2,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.2,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.2,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.9249878387129551,0.9247606019151846,0.9240296289841956,0.8770949720670391,0.8770949720670391,0.8770949720670391,32,0.4,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.4,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.4,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.9685412040419383,0.9685362517099863,0.9684419107161355,0.8942233393432868,0.8938547486033519,0.8940098853268681,64,0.0,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.0,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.0,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.9292763136980235,0.9288645690834474,0.9281366505844377,0.8719406228443363,0.8715083798882681,0.8716961769746299,64,0.2,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.2,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.2,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.9042371441069206,0.9042407660738714,0.9031602736739692,0.8823789384426157,0.88268156424581,0.8825012251298638,64,0.4,0.001,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.4,0.01,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,64,0.4,0.1,20,bert_embeddings_bert_large_uncased_whole_word_masking
0.978217654258766,0.9781121751025992,0.9780367491503967,0.8764557853943329,0.8715083798882681,0.8726254427032409,16,0.0,0.001,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,16,0.0,0.01,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.1304286802367688,0.36114911080711354,0.1916449552825688,0.14010174463968042,0.3743016759776536,0.2038879048008357,16,0.0,0.1,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.9521307107694857,0.9521203830369356,0.9518896898470203,0.8823789384426157,0.88268156424581,0.8825012251298638,16,0.2,0.001,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,16,0.2,0.01,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,16,0.2,0.1,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.9317252037794611,0.9316005471956225,0.9310401315108807,0.8659217877094971,0.8659217877094971,0.8659217877094971,16,0.4,0.001,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,16,0.4,0.01,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,16,0.4,0.1,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.9658537286323559,0.9658002735978113,0.9656669454175981,0.8599621567931253,0.8603351955307262,0.8601205061069808,32,0.0,0.001,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.4081304586225417,0.6388508891928865,0.49806905718376954,0.39149839268437314,0.6256983240223464,0.48163719787287146,32,0.0,0.01,20,roberta_embeddings_pmc_med_bio_mlm_roberta_large
