train_acc,train_rec,train_f1,test_acc,test_rec,test_f1,batch_size,dropout,lr,epochs,10
0.3522136185466783,0.5229357798165137,0.4151732207353833,0.33311307510456445,0.44000000000000006,0.37373171717171716,16,0.1,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.07239551478083589,0.1614678899082569,0.05059848373517469,0.030295081967213113,0.168,0.05133333333333333,16,0.1,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.026071879471424964,0.1614678899082569,0.04489470556690871,0.023104,0.152,0.04011111111111111,16,0.1,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.2966711768538289,0.46605504587155966,0.3617938177539982,0.3071034974064427,0.44799999999999995,0.36260423957015125,16,0.2,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,16,0.2,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.07298674821610601,0.163302752293578,0.051545523913085825,0.023672131147540985,0.152,0.040964539007092196,16,0.2,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.3668968377903572,0.5522935779816514,0.4355192924803307,0.3250578806609084,0.448,0.37405145662847794,8,0.1,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.026071879471424964,0.1614678899082569,0.04489470556690871,0.023104,0.152,0.04011111111111111,8,0.1,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,8,0.1,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.3375788046488808,0.5082568807339449,0.4019219628942837,0.31329523809523807,0.44000000000000006,0.36219127657380784,8,0.2,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.07643863247696678,0.1651376146788991,0.054804613948603545,0.023672131147540985,0.152,0.040964539007092196,8,0.2,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,8,0.2,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.3638256757848021,0.5559633027522937,0.4359416577306485,0.3350587232393684,0.48,0.39299864044544897,4,0.1,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,4,0.1,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,4,0.1,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.025482703476138374,0.1596330275229358,0.04394959934966903,0.030976,0.176,0.05268027210884354,4,0.2,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.023285252689779098,0.11559633027522936,0.03861252500847645,0.02403116883116883,0.11199999999999999,0.03938793103448276,4,0.2,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
0.08710179884070898,0.23486238532110093,0.12013125687751855,0.09705989110707804,0.24,0.13285981308411215,4,0.2,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.1,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.1,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.1,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.2,0.001,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.2,0.003,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
,,,,,,2,0.2,0.005,75,roberta_embeddings_pmc_med_bio_mlm_roberta_large
