train_acc,train_rec,train_f1,test_acc,test_rec,test_f1,batch_size,dropout,lr,epochs,10
0.5059462174191265,0.6642201834862386,0.5708137398281183,0.38626575569358174,0.472,0.4241577786473052,16,0.1,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.5266468147482698,0.6788990825688074,0.5883216079395099,0.44011049284578696,0.47200000000000003,0.44230869783810955,16,0.1,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.08724878575283325,0.25688073394495414,0.12375706587292634,0.09349718381976446,0.28,0.13973506034736533,16,0.1,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.3901259179397466,0.5779816513761469,0.45854071086419135,0.34574199713330145,0.48,0.39811678324059746,16,0.2,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.5142370887602197,0.671559633027523,0.5799528011205289,0.41354074074074076,0.48,0.4407818315018315,16,0.2,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.026071879471424964,0.1614678899082569,0.04489470556690871,0.023104,0.152,0.04011111111111111,16,0.2,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.5260181816974518,0.6935779816513762,0.5959350049142506,0.4080623376623377,0.488,0.44303995848469124,8,0.1,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.615824998170346,0.7357798165137615,0.6647351176699882,0.4260928238428239,0.448,0.42003154692771416,8,0.1,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.07239551478083589,0.1614678899082569,0.05059848373517469,0.030295081967213113,0.168,0.05133333333333333,8,0.1,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.3954429276210708,0.5889908256880734,0.4662342923220981,0.349178093306288,0.48799999999999993,0.40269497733904513,8,0.2,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.027270431781836548,0.1651376146788991,0.046810662428664315,0.0256,0.16,0.04413793103448277,8,0.2,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,8,0.2,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.537491483442429,0.689908256880734,0.6002004730489116,0.4006823604465709,0.44,0.41012249665959943,4,0.1,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.5325581853937511,0.6954128440366972,0.6000270851564458,0.4230109090909091,0.488,0.4485660606060606,4,0.1,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.01379008500967932,0.11743119266055047,0.024681761347373498,0.018496000000000002,0.136,0.03256338028169014,4,0.1,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.3919797138272564,0.5908256880733945,0.46527325739124104,0.3492424506387921,0.488,0.4035501230795348,4,0.2,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.497504593790344,0.6403669724770642,0.5563741489255123,0.3913221497359428,0.448,0.4075614281144657,4,0.2,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.07651476412493106,0.26972477064220185,0.11916214878154625,0.05958974358974359,0.2,0.09179526355996943,4,0.2,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
0.6427145079707892,0.7559633027522936,0.690571128063338,0.38960369245999005,0.42400000000000004,0.40022427925016163,2,0.1,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
,,,,,,2,0.1,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
,,,,,,2,0.1,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
,,,,,,2,0.2,0.001,75,bert_embeddings_bert_large_uncased_whole_word_masking
,,,,,,2,0.2,0.003,75,bert_embeddings_bert_large_uncased_whole_word_masking
,,,,,,2,0.2,0.005,75,bert_embeddings_bert_large_uncased_whole_word_masking
